"Module","EnsemblID","GeneSymbol","kME"
"red","ENSG00000161179.14","YDJC",0.8162
"red","ENSG00000125995.16","ROMO1",0.8127
"red","ENSG00000128626.12","MRPS12",0.811
"red","ENSG00000228300.14",NA,0.8105
"red","ENSG00000095906.17","NUBP2",0.8052
"magenta","ENSG00000173627.8","APOBEC4",0.8863
"magenta","ENSG00000157330.10","CFAP107",0.8564
"magenta","ENSG00000167858.13","TEKT1",0.8484
"magenta","ENSG00000169064.13","ZBBX",0.8399
"magenta","ENSG00000136918.8","WDR38",0.8386
"magenta","ENSG00000187492.9","CDHR4",0.831
"magenta","ENSG00000164287.13","CDC20B",0.8283
"magenta","ENSG00000176601.13","MAP3K19",0.8244
"magenta","ENSG00000186471.13","AKAP14",0.8224
"magenta","ENSG00000124237.6","CIMIP1",0.8184
"magenta","ENSG00000139445.18","FOXN4",0.8005
"magenta","ENSG00000162456.10","KNCN",0.7965
"magenta","ENSG00000118492.17","ADGB",0.796
"magenta","ENSG00000080572.13","DNAAF6",0.7927
"magenta","ENSG00000145491.12","ROPN1L",0.7809
"magenta","ENSG00000243910.8","TUBA4B",0.7767
"magenta","ENSG00000179902.13","CFAP276",0.7713
"magenta","ENSG00000163263.7","CFAP141",0.7665
"magenta","ENSG00000164746.14","C7orf57",0.7531
"magenta","ENSG00000129654.8","FOXJ1",0.7509
"brown","ENSG00000091831.24","ESR1",0.8902
"brown","ENSG00000115648.14","MLPH",0.8742
"brown","ENSG00000109436.8","TBC1D9",0.8698
"brown","ENSG00000129514.8","FOXA1",0.8689
"brown","ENSG00000173467.9","AGR3",0.8687
"brown","ENSG00000100219.16","XBP1",0.8564
"brown","ENSG00000134830.6","C5AR2",0.8528
"brown","ENSG00000107485.18","GATA3",0.8499
"brown","ENSG00000074410.14","CA12",0.8445
"brown","ENSG00000206113.11","CFAP99",0.8334
"brown","ENSG00000178935.5","ZNF552",0.8254
"brown","ENSG00000187486.5","KCNJ11",0.8154
"brown","ENSG00000143412.10","ANXA9",0.8095
"brown","ENSG00000176532.4","PRR15",0.8092
"brown","ENSG00000004838.14","ZMYND10",0.8069
"brown","ENSG00000168350.8","DEGS2",0.8032
"brown","ENSG00000106541.12","AGR2",0.803
"brown","ENSG00000204385.13","SLC44A4",0.7965
"brown","ENSG00000183044.12","ABAT",0.7915
"brown","ENSG00000165140.11","FBP1",0.7866
"pink","ENSG00000007541.17","PIGQ",0.8667
"pink","ENSG00000067836.13","ROGDI",0.8549
"pink","ENSG00000103024.7","NME3",0.8549
"pink","ENSG00000162076.13","FLYWCH2",0.8353
"pink","ENSG00000172366.20","MCRIP2",0.8298
"pink","ENSG00000185187.13","SIGIRR",0.8223
"pink","ENSG00000284976.1","LOC122513141",0.8175
"pink","ENSG00000159214.13","CCDC24",0.8158
"pink","ENSG00000127580.17","WDR24",0.8154
"pink","ENSG00000197562.10","RAB40C",0.8131
"pink","ENSG00000168101.14","NUDT16L1",0.8124
"pink","ENSG00000103254.10","ANTKMT",0.7986
"pink","ENSG00000103245.14","CIAO3",0.7942
"pink","ENSG00000185522.9","LMNTD2",0.7875
"pink","ENSG00000115257.15","PCSK4",0.7854
"pink","ENSG00000177548.13","RABEP2",0.7783
"pink","ENSG00000125967.17","NECAB3",0.776
"pink","ENSG00000212864.3","RNF208",0.7688
"pink","ENSG00000130005.13","GAMT",0.7628
"pink","ENSG00000176058.13","TPRN",0.7622
