"Network","Module","GeneSymbol","EnsemblID","kME"
"Unsigned","black","SIRPG","ENSG00000089012.14",0.9277
"Unsigned","black","TIGIT","ENSG00000181847.12",0.9209
"Unsigned","black","SP140","ENSG00000079263.19",0.9208
"Unsigned","black","CD5","ENSG00000110448.11",0.9103
"Unsigned","black","CD3D","ENSG00000167286.10",0.9097
"Unsigned","black","ICOS","ENSG00000163600.13",0.9058
"Unsigned","black","CXCR3","ENSG00000186810.8",0.8999
"Unsigned","black","TRAT1","ENSG00000163519.14",0.8944
"Unsigned","black","TIFAB","ENSG00000255833.2",0.8942
"Unsigned","black","LTA","ENSG00000226979.9",0.8887
"Unsigned","black","CD6","ENSG00000013725.14",0.8872
"Unsigned","black","CTLA4","ENSG00000163599.17",0.8855
"Unsigned","black","FCRL3","ENSG00000160856.21",0.8808
"Unsigned","black","IL2RG","ENSG00000147168.13",0.8764
"Unsigned","black","PLA2G2D","ENSG00000117215.15",0.8719
"Unsigned","black","GBP5","ENSG00000154451.14",0.8684
"Unsigned","black","PDCD1","ENSG00000188389.11",0.8638
"Unsigned","black","GZMB","ENSG00000100453.13",0.8604
"Unsigned","turquoise","FOXA1","ENSG00000129514.8",-0.9049
"Unsigned","turquoise","MLPH","ENSG00000115648.14",-0.8889
"Unsigned","turquoise","ESR1","ENSG00000091831.24",-0.8883
"Unsigned","turquoise","TBC1D9","ENSG00000109436.8",-0.8837
"Unsigned","turquoise","XBP1","ENSG00000100219.16",-0.8733
"Unsigned","turquoise","AGR3","ENSG00000173467.9",-0.8701
"Unsigned","turquoise","GATA3","ENSG00000107485.18",-0.8645
"Unsigned","turquoise","CA12","ENSG00000074410.14",-0.851
"Unsigned","turquoise","C5AR2","ENSG00000134830.6",-0.8449
"Unsigned","turquoise","PRR15","ENSG00000176532.4",-0.8367
"Unsigned","turquoise","AGR2","ENSG00000106541.12",-0.8276
"Unsigned","turquoise","SLC44A4","ENSG00000204385.13",-0.819
"Unsigned","turquoise","FBP1","ENSG00000165140.11",-0.8176
"Unsigned","turquoise","ZNF552","ENSG00000178935.5",-0.8176
"Unsigned","turquoise","KCNJ11","ENSG00000187486.5",-0.801
"Unsigned","turquoise","DEGS2","ENSG00000168350.8",-0.7987
"Unsigned","turquoise","CFAP99","ENSG00000206113.11",-0.797
"Unsigned","turquoise","SLC7A8","ENSG00000092068.20",-0.7926
"Unsigned","turquoise","SPDEF","ENSG00000124664.11",-0.789
"Unsigned","turquoise","TFF3","ENSG00000160180.15",-0.7877
"Unsigned","yellow","TPX2","ENSG00000088325.16",0.9396
"Unsigned","yellow","NCAPG","ENSG00000109805.10",0.9285
"Unsigned","yellow","BUB1","ENSG00000169679.15",0.926
"Unsigned","yellow","NCAPH","ENSG00000121152.10",0.923
"Unsigned","yellow","SGO1","ENSG00000129810.15",0.9227
"Unsigned","yellow","CCNA2","ENSG00000145386.11",0.9224
"Unsigned","yellow","CEP55","ENSG00000138180.16",0.9208
"Unsigned","yellow","KIF4A","ENSG00000090889.12",0.9192
"Unsigned","yellow","MCM10","ENSG00000065328.17",0.919
"Unsigned","yellow","CKAP2L","ENSG00000169607.13",0.917
"Unsigned","yellow","MELK","ENSG00000165304.8",0.9154
"Unsigned","yellow","CCNB2","ENSG00000157456.8",0.9107
"Unsigned","yellow","SKA1","ENSG00000154839.10",0.9098
"Unsigned","yellow","CDCA8","ENSG00000134690.11",0.9081
"Unsigned","yellow","KIF23","ENSG00000137807.16",0.9075
"Unsigned","yellow","HJURP","ENSG00000123485.12",0.9069
"Unsigned","yellow","TTK","ENSG00000112742.10",0.9032
"Unsigned","yellow","FOXM1","ENSG00000111206.13",0.9025
"Unsigned","yellow","DLGAP5","ENSG00000126787.13",0.9024
