Module,GeneSymbol,kME,Full_Name,Aliases,EntrezID,Functional_Summary
green,LINC02613,0.7505,long independently transcribed non-coding RNA 2613,,101929596,No summary available.
green,LINC01819,0.7399,long independently transcribed non-coding RNA 1819,KPRT4; LINC02590,102723854,No summary available.
green,AC008514.1,0.7282,,,,No summary available.
green,LINC02487,0.7281,long independently transcribed non-coding RNA 2487,,441178,No summary available.
green,AL109809.4,0.7243,,,,No summary available.
green,CASC8,0.7198,cancer susceptibility 8,CARLO1; CARLo-1; LINC00860,727677,No summary available.
green,AL136366.1,0.7117,,,,No summary available.
green,PICSAR,0.7116,P38 inhibited cutaneous squamous cell carcinoma associated lincRNA,C21orf113; LINC00162; NCRNA00162; NLC1-C; NLC1C; PRED74; lnc-NLC1-C,378825,No summary available.
green,VIM.AS1,0.7115,,,,No summary available.
green,LINC01354,0.7048,long independently transcribed non-coding RNA 1354,,100506795,No summary available.
green,LINC00092,0.6834,long independently transcribed non-coding RNA 92,NCRNA00092,100188953,No summary available.
green,AC022509.1,0.6805,,,,No summary available.
green,LINC01152,0.6702,long independently transcribed non-coding RNA 1152,CMPD; TCONS_00025128,102606463,No summary available.
green,CEROX1,0.6678,cytoplasmic endogenous regulator of oxidative phosphorylation 1,,115804232,No summary available.
green,LINC00839,0.6596,long independently transcribed non-coding RNA 839,,84856,No summary available.
